onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.5_ir128_subnet_ID44,110247936,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID45,53698560,196608,98304,196608,117760,50.00%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID46,662175744,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID47,290291712,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID48,157802496,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID49,1318354944,2162688,2162688,1572864,2162688,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID5,108847104,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID50,257556480,393216,393216,393216,393216,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID51,85917696,233472,204800,196608,233472,12.28%,15.79%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID52,381124608,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID53,107446272,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID54,1454604288,2162688,2162688,1572864,2162688,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID55,184713216,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID56,139812864,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID57,78618624,196608,86016,196608,117760,56.25%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID58,81051648,196608,98304,196608,117760,50.00%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID59,127352832,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID6,133251072,393216,393216,393216,393216,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID60,85843968,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID61,47652864,196608,86016,196608,117760,56.25%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID62,320593920,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID63,226000896,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID64,160309248,393216,393216,393216,393216,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID65,275841024,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID66,94765056,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID67,73089024,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID68,175497216,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID69,594345984,1572864,1572864,1572864,1572864,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID7,106487808,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID70,511475712,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID71,322658304,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID72,366379008,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID73,292061184,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID74,105086976,233472,204800,196608,233472,12.28%,15.79%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID75,143204352,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID76,174612480,393216,393216,393216,393216,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID77,74563584,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID78,835289088,1572864,1572864,1572864,1572864,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID79,42418176,196608,86016,196608,117760,56.25%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID8,908427264,2162688,2162688,1572864,2162688,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID80,443056128,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID81,84074496,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID82,439959552,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID83,89751552,233472,204800,196608,233472,12.28%,15.79%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID84,345440256,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID85,236027904,393216,393216,393216,393216,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID86,51929088,196608,98304,196608,117760,50.00%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID87,42344448,196608,86016,196608,117760,56.25%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID88,569868288,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID89,115998720,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID9,104497152,196608,98304,196608,135168,50.00%,0.00%,31.25%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID90,60112896,196608,98304,196608,117760,50.00%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID91,1658388480,2162688,2162688,1572864,2162688,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
